OBJECTID,Shape_Leng,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,tas_annual_baseline_81_00_media,tas_annual_01_20_median,tas_annual_change_01_20_median,tas_annual_change_15_median,tas_annual_change_20_median,tas_annual_change_25_median,tas_annual_change_30_median,tas_annual_change_40_median,tas_annual_baseline_81_00_upper,tas_annual_01_20_upper,tas_annual_change_01_20_upper,tas_annual_change_15_upper,tas_annual_change_20_upper,tas_annual_change_25_upper,tas_annual_change_30_upper,tas_annual_change_40_upper,tas_annual_baseline_81_00_lower,tas_annual_01_20_lower,tas_annual_change_01_20_lower,tas_annual_change_15_lower,tas_annual_change_20_lower,tas_annual_change_25_lower,tas_annual_change_30_lower,tas_annual_change_40_lower,SHAPE_Length,SHAPE_Area,,Comments,
26,48000,50.36244177,-4.33529526,54000,234000,10.64476617,11.35907932,0.714313151,0.997747809,1.548287011,1.98457287,2.404917302,3.259819878,10.64772569,11.60620877,0.958483073,1.376290613,1.890802641,2.156165778,2.634968998,3.691580946,10.64261719,11.26499783,0.622380642,0.894055473,1.366474299,1.934708633,2.227735305,2.993736359,48000,-144000000,,,
27,48000,50.36570636,-4.1667084,54000,246000,10.829273,11.56152886,0.732255859,1.00565223,1.570426949,2.016246796,2.437344215,3.297750134,10.83275608,11.81520833,0.982452257,1.40421503,1.925498925,2.192900856,2.692446057,3.742725488,10.82654948,11.45508572,0.628536241,0.913200542,1.385220527,1.966165675,2.272556837,3.050177641,48000,-144000000,,,
28,48000,50.36872589,-3.99809141,54000,258000,10.43905816,11.18076063,0.741702474,1.010670211,1.574664197,2.019108383,2.444403677,3.304281167,10.44062283,11.42902344,0.988400608,1.401868593,1.919096396,2.188233817,2.705860305,3.748367642,10.43707899,11.0728418,0.635762804,0.930062417,1.396258371,1.982724971,2.276094577,3.066874793,48000,-144000000,,,
29,48000,50.37150084,-3.8294477,54000,270000,10.23750543,10.95661838,0.719112956,1.010696692,1.583098416,2.005944398,2.447824875,3.285570824,10.24116536,11.20713759,0.965972222,1.398559441,1.886225715,2.138052765,2.682709728,3.717470755,10.23632921,10.87006944,0.633740234,0.922874039,1.37841616,1.966205512,2.27697896,3.032628503,48000,-144000000,,,
30,48000,50.37403201,-3.66077798,54000,282000,10.49214627,11.19348687,0.701340603,1.010499313,1.593908498,1.984067047,2.448985615,3.280515641,10.49626845,11.44801866,0.951750217,1.372083953,1.845403181,2.102287688,2.664643891,3.67755043,10.4913303,11.12116753,0.62983724,0.925262638,1.384207279,1.968716621,2.250825893,3.026923983,48000,-144000000,,,
31,48000,50.37631965,-3.49208564,54000,294000,10.93083171,11.63387912,0.703047418,1.023418666,1.615207817,2.012084238,2.473870779,3.312562831,10.93444661,11.89549805,0.961051432,1.387729105,1.872863808,2.127124514,2.703561766,3.713650019,10.92859375,11.56590061,0.637306858,0.937715257,1.403484261,1.995142661,2.281033709,3.058015873,48000,-144000000,,,
32,48000,50.45021641,-5.18491179,66000,174000,11.12426975,11.7960026,0.671732856,0.970567207,1.504853903,1.930637711,2.324127992,3.149694837,11.12607639,12.07773438,0.951657986,1.297003245,1.774221644,2.014758805,2.536770627,3.513050389,11.12233941,11.70954753,0.587208116,0.862017041,1.331406663,1.81978867,2.146702526,2.813033337,48000,-144000000,,,
33,48000,50.4547164,-5.01612992,66000,186000,10.80493707,11.47921007,0.674273003,0.97254516,1.508689598,1.937647518,2.325474744,3.155932927,10.80766276,11.76234592,0.95468316,1.306545966,1.783764674,2.028531539,2.555135169,3.510234272,10.80399848,11.40340929,0.599410807,0.855323454,1.323472377,1.822518136,2.150860202,2.822030372,48000,-144000000,,,
34,48000,50.45897211,-4.84730604,66000,198000,10.39842122,11.08705349,0.68863227,0.969895859,1.505429093,1.926217448,2.325498331,3.156976712,10.39946398,11.34253581,0.943071832,1.314536107,1.788637049,2.031016762,2.537494781,3.564623274,10.39666016,10.99624023,0.599580078,0.853190569,1.324671276,1.850498564,2.144184338,2.84372153,48000,-144000000,,,
35,48000,50.46298313,-4.67844242,66000,210000,10.3129286,11.0229248,0.709996202,0.985692636,1.520301908,1.958835824,2.365933289,3.214236447,10.31440104,11.26542101,0.951019965,1.349111431,1.851822658,2.091184844,2.581281829,3.62781095,10.31133789,10.91796875,0.606630859,0.877198454,1.357575076,1.910534061,2.190098121,2.918062376,48000,-144000000,,,
36,48000,50.46674942,-4.50954134,66000,222000,9.943416341,10.65068142,0.707265082,0.991954933,1.534454572,1.96645097,2.385763372,3.236117751,9.947356771,10.89349284,0.946136068,1.363955905,1.869616867,2.128247975,2.605226728,3.668011016,9.942624783,10.5534375,0.610812717,0.889096602,1.359392413,1.9217002,2.206929822,2.956704851,48000,-144000000,,,
37,48000,50.4702713,-4.34060487,66000,234000,10.24238118,10.95926541,0.716884223,0.996666589,1.552305953,1.992792995,2.412060728,3.263128772,10.24620443,11.2062576,0.960053168,1.384677734,1.904394996,2.165791377,2.643602276,3.694491877,10.23654622,10.86361328,0.627067057,0.894899295,1.35893286,1.933629041,2.232205843,3.00250093,48000,-144000000,,,
38,48000,50.47354811,-4.17163533,66000,246000,10.33897624,11.07258355,0.733607313,1.005362052,1.571962374,2.020159919,2.442714379,3.302527592,10.34338867,11.32932075,0.985932075,1.412925399,1.940050068,2.201700717,2.69364914,3.743976314,10.3316276,10.96921007,0.637582465,0.911760603,1.38082579,1.962920077,2.274648282,3.050755828,48000,-144000000,,,
39,48000,50.47657964,-4.00263542,66000,258000,9.192099067,9.921615668,0.729516602,1.013542597,1.580387111,2.026155547,2.450476397,3.316381293,9.195839844,10.18521918,0.98937934,1.414747954,1.935074921,2.191705833,2.720622106,3.781206701,9.19125651,9.828427734,0.637171224,0.926363364,1.402116402,1.979879712,2.304947193,3.073423756,48000,-144000000,,,
40,48000,50.47936608,-3.83360821,66000,270000,9.337803277,10.05559136,0.717788086,1.022108781,1.599117374,2.028546472,2.471053344,3.321832476,9.343007813,10.32470486,0.981697049,1.418965412,1.915226676,2.163806785,2.722516638,3.786251912,9.336425781,9.971686198,0.635260417,0.939381304,1.404448268,1.986623161,2.325584336,3.070379154,48000,-144000000,,,
41,48000,50.48190683,-3.66455555,66000,282000,10.5693571,11.27933268,0.709975586,1.026532506,1.622567972,2.035137313,2.490270518,3.333145849,10.57325087,11.5444401,0.971189236,1.410739707,1.899301009,2.148997189,2.723602586,3.753843833,10.56637153,11.2059158,0.639544271,0.940014106,1.409050358,2.004668744,2.314702794,3.069413701,48000,-144000000,,,
42,48000,50.48420175,-3.49547996,66000,294000,10.89898492,11.60104709,0.702062174,1.034136982,1.631303013,2.026153041,2.483694687,3.331757838,10.90293728,11.86717665,0.964239366,1.387104415,1.881631428,2.136494606,2.728308273,3.724575635,10.89727214,11.54072483,0.643452691,0.944926112,1.418825645,2.010791532,2.287434069,3.081049727,48000,-144000000,,,
43,48000,50.56248413,-5.02300866,78000,186000,11.01317329,11.70241645,0.689243164,0.970549174,1.501515403,1.930251039,2.322651238,3.151388527,11.0159668,11.96322266,0.947255859,1.30903744,1.783347801,2.026808449,2.547537461,3.530370267,11.01252821,11.61197049,0.599442274,0.853333023,1.326804005,1.829261636,2.146927032,2.822580708,48000,-144000000,,,
44,48000,50.56675602,-4.8538008,78000,198000,10.80997993,11.51338216,0.703402235,0.969014989,1.491569605,1.925662977,2.318186591,3.142893105,10.81344727,11.75623372,0.942786458,1.307639509,1.77918997,2.022109117,2.547039517,3.526285859,10.80824002,11.40766059,0.599420573,0.854586124,1.331647652,1.820991702,2.144932829,2.808184782,48000,-144000000,,,
